z k ranker order qthresh algo qid qlen latency docs_scored postings_scored heap_pushes full_sorts partial_sorts bm_skips doc_decodes freq_decodes
counters 10 original random none block_max_wand 489204 4 1107 1127 1576 1127 1128 28110 5561 4638 419
counters 10 original random none block_max_wand 490595 3 221 777 892 777 778 8236 772 944 146
counters 10 original random none block_max_wand 527433 5 486 447 654 447 448 8433 1265 2797 142
counters 10 original random none block_max_wand 573724 4 4078 762 1137 762 763 160667 87595 4525 592
counters 10 original random none block_max_wand 833860 5 5555 990 1401 990 991 191999 51251 8404 617
counters 10 original random none block_max_wand 855410 3 3335 14290 15057 14290 14291 142569 44777 7592 3584
counters 10 original random none block_max_wand 87181 4 200 433 686 433 434 4679 584 870 175
counters 10 original random none block_max_wand 87452 3 433 621 747 621 622 16724 5510 1252 175
counters 10 original random none block_max_wand 915593 8 2097 633 1242 633 634 44963 15241 3623 437
counters 10 original random none block_max_wand 962179 4 371 583 749 583 584 7741 2339 1823 130
counters 10 original random none maxscore 1037798 3 355 28111 28450 3318 0 0 0 1406 484
counters 10 original random none maxscore 104861 4 499 40252 41940 784 0 0 0 965 678
counters 10 original random none maxscore 1063750 5 1564 138473 142771 564 0 0 0 2560 1719
counters 10 original random none maxscore 1103812 5 1246 74449 77765 999 0 0 0 5037 2411
counters 10 original random none maxscore 1106007 2 81 2955 2995 2908 0 0 0 799 65
counters 10 original random none maxscore 1110199 4 180 10336 10578 847 0 0 0 606 163
counters 10 original random none maxscore 1112341 5 2433 210017 217460 2140 0 0 0 6691 3600
counters 10 original random none maxscore 1113437 4 810 56509 57653 2366 0 0 0 2206 1051
counters 10 original random none maxscore 1114646 3 202 21564 21744 3830 0 0 0 1187 334
counters 10 original random none maxscore 1114819 5 944 70058 71874 1159 0 0 0 2097 1246
counters 10 original random none maxscore 1115776 4 113 6439 6517 1289 0 0 0 723 117
counters 10 original random none maxscore 1117099 3 387 18889 19275 2246 0 0 0 2455 478
counters 10 original random none maxscore 1121402 5 223 15260 15573 518 0 0 0 1439 313
counters 10 original random none maxscore 1121709 3 1785 121520 126649 7119 0 0 0 5449 2945
counters 10 original random none maxscore 1124210 2 168 26709 26725 26693 0 0 0 314 226
counters 10 original random none maxscore 1129237 5 1636 98836 107606 1210 0 0 0 3969 2341
counters 10 original random none maxscore 1133167 3 157 7490 7768 1671 0 0 0 1146 284
counters 10 original random none maxscore 130510 3 60 3629 3738 1490 0 0 0 451 114
counters 10 original random none maxscore 131843 2 293 48793 48795 48792 0 0 0 398 384
