z k ranker order qthresh algo qid qlen latency docs_scored postings_scored heap_pushes full_sorts partial_sorts bm_skips doc_decodes freq_decodes
counters 10 doct5query bp none wand 182539 3 864 13714 27190 13714 13715 44777 0 1969 1745
counters 10 doct5query bp none wand 183378 3 298 9723 19485 9723 9724 9027 0 714 620
counters 10 doct5query bp none wand 19335 3 147 1003 1859 1003 1004 6068 0 808 440
counters 10 doct5query bp none wand 207786 5 207 677 1579 677 678 7704 0 732 252
counters 10 doct5query bp none wand 264014 5 201 648 2443 648 649 7184 0 917 520
counters 10 doct5query bp none wand 359349 4 1469 34981 63359 34981 34982 48803 0 3592 3432
counters 10 doct5query bp none wand 405717 4 148 2919 3294 2919 2920 3850 0 848 223
counters 10 doct5query bp none wand 443396 3 321 1174 2197 1174 1175 10515 0 2363 686
counters 10 doct5query bp none wand 451602 4 301 1628 2915 1628 1629 12385 0 1477 567
counters 10 doct5query bp none wand 47923 5 96 748 1394 748 749 3040 0 438 166
counters 10 doct5query bp none wand 489204 4 368 1324 3321 1324 1325 17366 0 1523 849
counters 10 doct5query bp none wand 490595 3 292 2712 3803 2712 2713 12856 0 1688 627
counters 10 doct5query bp none wand 527433 5 629 17935 36315 17935 17936 18608 0 1339 901
counters 10 doct5query bp none wand 573724 4 1477 4499 13167 4499 4500 76430 0 5956 3996
counters 10 doct5query bp none wand 833860 5 447 1517 5579 1517 1518 19271 0 1886 947
counters 10 doct5query bp none wand 855410 3 16 258 510 258 259 192 0 23 21
counters 10 doct5query bp none wand 87181 4 241 2547 4830 2547 2548 10905 0 891 661
counters 10 doct5query bp none wand 87452 3 193 1746 3204 1746 1747 7755 0 1088 531
counters 10 doct5query bp none wand 915593 8 1502 4945 24526 4945 4946 44601 0 5155 4474
counters 10 doct5query bp none wand 962179 4 301 2182 4229 2182 2183 10987 0 1598 487
counters 10 doct5query bp none block_max_wand 1037798 3 541 1190 1392 1190 1191 15327 1445 1803 298
counters 10 doct5query bp none block_max_wand 104861 4 763 796 1176 796 797 23858 4303 1893 269
counters 10 doct5query bp none block_max_wand 1063750 5 871 1059 1716 1059 1060 12145 3517 2536 408
counters 10 doct5query bp none block_max_wand 1103812 5 2301 1541 2213 1541 1542 56944 3789 6434 574
counters 10 doct5query bp none block_max_wand 1106007 2 95 974 1069 974 975 2278 356 487 110
counters 10 doct5query bp none block_max_wand 1110199 4 994 1695 2127 1695 1696 30479 21890 1786 297
counters 10 doct5query bp none block_max_wand 1112341 5 807 622 890 622 623 13992 2918 2613 226
counters 10 doct5query bp none block_max_wand 1113437 4 985 536 697 536 537 28387 20125 1333 183
counters 10 doct5query bp none block_max_wand 1114646 3 173 635 715 635 636 5060 4449 438 80
counters 10 doct5query bp none block_max_wand 1114819 5 1555 1514 2067 1514 1515 37876 7826 3348 519
counters 10 doct5query bp none block_max_wand 1115776 4 187 332 438 332 333 1897 219 311 91
counters 10 doct5query bp none block_max_wand 1117099 3 574 1077 1246 1077 1078 12631 4165 1816 185
counters 10 doct5query bp none block_max_wand 1121402 5 376 559 893 559 560 3841 428 997 206
counters 10 doct5query bp none block_max_wand 1121709 3 2564 3954 4823 3954 3955 78234 20633 6617 1317
counters 10 doct5query bp none block_max_wand 1124210 2 10 114 147 114 115 103 0 25 12
counters 10 doct5query bp none block_max_wand 1129237 5 1517 1160 1955 1160 1161 35667 10963 2776 524
counters 10 doct5query bp none block_max_wand 1133167 3 264 531 637 531 532 4920 2406 823 75
counters 10 doct5query bp none block_max_wand 130510 3 145 1043 1176 1043 1044 2610 949 705 133
counters 10 doct5query bp none block_max_wand 131843 2 23 76 89 76 77 23 0 19 10
counters 10 doct5query bp none block_max_wand 146187 5 146 384 641 384 385 1836 41 486 140
counters 10 doct5query bp none block_max_wand 148538 4 305 1095 1560 1095 1096 4559 918 1424 267
counters 10 doct5query bp none block_max_wand 156493 3 183 685 992 685 686 2479 389 544 151
counters 10 doct5query bp none block_max_wand 168216 5 132 437 791 437 438 686 0 242 129
counters 10 doct5query bp none block_max_wand 182539 3 426 2154 2395 2154 2155 16107 4333 1116 393
counters 10 doct5query bp none block_max_wand 183378 3 165 1908 2140 1908 1909 3679 1275 402 152
counters 10 doct5query bp none block_max_wand 19335 3 264 832 1178 832 833 6246 264 1003 215
counters 10 doct5query bp none block_max_wand 207786 5 487 518 891 518 519 8487 650 984 149
counters 10 doct5query bp none block_max_wand 264014 5 523 584 1122 584 585 9015 402 1310 236
counters 10 doct5query bp none block_max_wand 359349 4 342 1492 1658 1492 1493 10584 8985 714 127
counters 10 doct5query bp none block_max_wand 405717 4 192 839 1010 839 840 4212 146 899 129
counters 10 doct5query bp none block_max_wand 443396 3 447 1058 1288 1058 1059 10369 1202 2352 219
counters 10 doct5query bp none block_max_wand 451602 4 430 894 1200 894 895 11139 1425 1496 240
counters 10 doct5query bp none block_max_wand 47923 5 169 650 958 650 651 2864 140 609 85
counters 10 doct5query bp none block_max_wand 489204 4 579 945 1379 945 946 15436 2866 1602 329
counters 10 doct5query bp none block_max_wand 490595 3 376 1388 1597 1388 1389 10896 1682 1597 227
counters 10 doct5query bp none block_max_wand 527433 5 623 9323 10424 9323 9324 11716 1051 1274 558
counters 10 doct5query bp none block_max_wand 573724 4 2322 1852 2436 1852 1853 67340 40704 4111 645
counters 10 doct5query bp none block_max_wand 833860 5 1319 1021 1681 1021 1022 25546 1226 4874 395
counters 10 doct5query bp none block_max_wand 855410 3 81 258 299 258 259 192 0 23 21
counters 10 doct5query bp none block_max_wand 87181 4 249 1437 1844 1437 1438 6716 1211 629 267
counters 10 doct5query bp none block_max_wand 87452 3 324 1394 1624 1394 1395 9777 218 1181 200
counters 10 doct5query bp none block_max_wand 915593 8 3153 3733 6410 3733 3734 54643 4594 5733 1557
counters 10 doct5query bp none block_max_wand 962179 4 483 1693 2232 1693 1694 10590 614 1785 294
counters 10 doct5query bp none maxscore 1037798 3 200 18144 18348 1015 0 0 0 768 297
counters 10 doct5query bp none maxscore 104861 4 350 31282 33052 2008 0 0 0 707 517
counters 10 doct5query bp none maxscore 1063750 5 168 12563 13401 307 0 0 0 874 497
counters 10 doct5query bp none maxscore 1103812 5 774 64188 66179 672 0 0 0 2982 1356
counters 10 doct5query bp none maxscore 1106007 2 113 7773 7901 5668 0 0 0 243 134
counters 10 doct5query bp none maxscore 1110199 4 298 47394 48539 158 0 0 0 747 627
counters 10 doct5query bp none maxscore 1112341 5 231 15348 15764 122 0 0 0 1192 335
counters 10 doct5query bp none maxscore 1113437 4 277 47223 47386 97 0 0 0 815 445
counters 10 doct5query bp none maxscore 1114646 3 58 11760 11840 80 0 0 0 169 162
counters 10 doct5query bp none maxscore 1114819 5 585 62575 64176 179 0 0 0 1619 1014
counters 10 doct5query bp none maxscore 1115776 4 42 2696 2797 91 0 0 0 164 101
counters 10 doct5query bp none maxscore 1117099 3 172 16733 16944 106 0 0 0 741 249
counters 10 doct5query bp none maxscore 1121402 5 68 2973 3301 136 0 0 0 390 214
counters 10 doct5query bp none maxscore 1121709 3 1181 143567 145242 163 0 0 0 2675 1767
counters 10 doct5query bp none maxscore 1124210 2 4 159 188 96 0 0 0 23 12
counters 10 doct5query bp none maxscore 1129237 5 627 67398 70313 178 0 0 0 1344 1020
counters 10 doct5query bp none maxscore 1133167 3 71 6265 6524 137 0 0 0 387 194
counters 10 doct5query bp none maxscore 130510 3 35 3124 3261 330 0 0 0 223 133
counters 10 doct5query bp none maxscore 131843 2 5 81 93 75 0 0 0 14 10
counters 10 doct5query bp none maxscore 146187 5 36 1290 1587 188 0 0 0 244 135
counters 10 doct5query bp none maxscore 148538 4 70 4366 4971 261 0 0 0 530 293
counters 10 doct5query bp none maxscore 156493 3 52 5565 5847 110 0 0 0 291 167
counters 10 doct5query bp none maxscore 168216 5 23 506 816 144 0 0 0 152 125
counters 10 doct5query bp none maxscore 182539 3 393 53997 54453 5602 0 0 0 933 644
counters 10 doct5query bp none maxscore 183378 3 66 12577 12770 193 0 0 0 232 188
counters 10 doct5query bp none maxscore 19335 3 86 5644 5966 517 0 0 0 455 210
counters 10 doct5query bp none maxscore 207786 5 123 8850 9372 171 0 0 0 481 201
counters 10 doct5query bp none maxscore 264014 5 107 8046 8765 146 0 0 0 424 272
counters 10 doct5query bp none maxscore 359349 4 247 51361 51533 196 0 0 0 573 488
counters 10 doct5query bp none maxscore 405717 4 86 4855 5151 3256 0 0 0 556 181
counters 10 doct5query bp none maxscore 443396 3 117 7012 7285 515 0 0 0 749 253
counters 10 doct5query bp none maxscore 451602 4 133 11218 11747 573 0 0 0 594 289
counters 10 doct5query bp none maxscore 47923 5 39 2686 3154 277 0 0 0 184 96
counters 10 doct5query bp none maxscore 489204 4 326 28173 30506 735 0 0 0 1161 842
counters 10 doct5query bp none maxscore 490595 3 110 10498 10766 1038 0 0 0 723 220
counters 10 doct5query bp none maxscore 527433 5 299 37199 38908 3384 0 0 0 784 627
counters 10 doct5query bp none maxscore 573724 4 1058 155821 157247 157 0 0 0 2832 1867
counters 10 doct5query bp none maxscore 833860 5 274 17922 18860 168 0 0 0 1293 594
counters 10 doct5query bp none maxscore 855410 3 13 259 299 47 0 0 0 23 21
counters 10 doct5query bp none maxscore 87181 4 113 12979 13558 1423 0 0 0 400 308
counters 10 doct5query bp none maxscore 87452 3 122 8960 9255 628 0 0 0 571 261
counters 10 doct5query bp none maxscore 915593 8 822 84120 90073 191 0 0 0 1992 1728
counters 10 doct5query bp none maxscore 962179 4 166 15606 16185 1249 0 0 0 807 368
counters 10 deepimpact bp none wand 1037798 3 3462 207076 242695 207076 207077 42403 0 13472 11961
counters 10 deepimpact bp none wand 104861 4 974 31313 38438 31313 31314 25822 0 1227 925
counters 10 deepimpact bp none wand 1063750 4 27312 1695828 1962866 1695828 1695829 531636 0 30528 30183
counters 10 deepimpact bp none wand 1103812 5 14546 406739 685651 406739 406740 431140 0 25739 24980
counters 10 deepimpact bp none wand 1106007 2 267 25545 25986 25545 25546 2250 0 696 379
counters 10 deepimpact bp none wand 1110199 4 3361 80923 139071 80923 80924 85731 0 15922 14214
counters 10 deepimpact bp none wand 1112341 5 25910 553010 1141835 553010 553011 801677 0 42249 40932
counters 10 deepimpact bp none wand 1113437 4 963 4586 10391 4586 4587 45139 0 4193 3058
counters 10 deepimpact bp none wand 1114646 3 2550 195048 228084 195048 195049 28372 0 5012 4735
counters 10 deepimpact bp none wand 1114819 5 5946 140487 279094 140487 140488 174968 0 17615 16014
counters 10 deepimpact bp none wand 1115776 4 3900 338234 347290 338234 338235 17195 0 7991 6705
counters 10 deepimpact bp none wand 1117099 3 3170 55721 100958 55721 55722 79861 0 20916 16990
counters 10 deepimpact bp none wand 1121402 5 25244 988253 1885633 988253 988254 576728 0 39806 34738
counters 10 deepimpact bp none wand 1121709 3 7465 231197 378930 231197 231198 186794 0 28998 27803
counters 10 deepimpact bp none wand 1124210 2 342 41796 41832 41796 41797 47 0 335 331
counters 10 deepimpact bp none wand 1129237 5 4179 47845 106113 47845 47846 144110 0 9977 7848
counters 10 deepimpact bp none wand 1133167 3 507 10362 16077 10362 10363 11811 0 3014 1772
counters 10 deepimpact bp none wand 130510 3 2804 279311 284403 279311 279312 11420 0 4832 3899
counters 10 deepimpact bp none wand 131843 2 2770 341899 341911 341899 341900 8 0 2681 2675
counters 10 deepimpact bp none wand 146187 5 4884 193278 396128 193278 193279 92430 0 15148 11458
counters 10 deepimpact bp none wand 148538 4 11220 704349 1408408 704349 704350 122989 0 15889 14204
counters 10 deepimpact bp none wand 156493 2 125 10975 11271 10975 10976 1745 0 401 182
counters 10 deepimpact bp none wand 168216 4 137 11342 11938 11342 11343 583 0 291 229
counters 10 deepimpact bp none wand 182539 3 3285 77038 109742 77038 77039 169227 0 5890 5356
counters 10 deepimpact bp none wand 183378 3 2028 95307 140967 95307 95308 45410 0 6013 5341
counters 10 deepimpact bp none wand 19335 3 2478 42633 71798 42633 42634 113553 0 9259 6970
counters 10 deepimpact bp none wand 207786 4 1013 25621 44625 25621 25622 26117 0 4357 3424
counters 10 deepimpact bp none wand 264014 5 9750 94885 274940 94885 94886 388813 0 29859 27239
counters 10 deepimpact bp none wand 359349 4 4416 186679 257283 186679 186680 107953 0 10359 9976
counters 10 deepimpact bp none wand 405717 4 3445 311047 313881 311047 311048 22037 0 3705 3142
counters 10 deepimpact bp none wand 443396 3 2316 81644 106735 81644 81645 84977 0 7256 5429
counters 10 deepimpact bp none wand 451602 5 17390 600887 956328 600887 600888 495164 0 24806 21237
counters 10 deepimpact bp none wand 47923 5 453 30979 32314 30979 30980 4686 0 790 415
counters 10 deepimpact bp none wand 489204 4 2262 26461 58228 26461 26462 91903 0 5723 4355
counters 10 deepimpact bp none wand 490595 3 1897 44269 59534 44269 44270 69234 0 8615 5912
counters 10 deepimpact bp none wand 527433 4 1143 107755 109743 107755 107756 3329 0 1258 1006
counters 10 deepimpact bp none wand 573724 4 4072 98454 182595 98454 98455 133948 0 13490 11598
counters 10 deepimpact bp none wand 833860 5 15900 188628 501529 188628 188629 543795 0 37773 34811
counters 10 deepimpact bp none wand 855410 3 38758 1789325 3088746 1789325 1789326 825985 0 50073 49947
counters 10 deepimpact bp none wand 87181 4 560 21959 26042 21959 21960 13767 0 1342 975
counters 10 deepimpact bp none wand 87452 3 1216 83809 85707 83809 83810 26102 0 2212 1434
counters 10 deepimpact bp none wand 915593 7 10983 184164 461393 184164 184165 318150 0 21997 16413
counters 10 deepimpact bp none wand 962179 4 1962 34443 56847 34443 34444 61392 0 9414 7019
counters 10 deepimpact bp none block_max_wand 1037798 3 1137 2865 3301 2865 2866 37278 34156 3114 595
counters 10 deepimpact bp none block_max_wand 104861 4 867 2669 3484 2669 2670 24301 13762 1150 387
counters 10 deepimpact bp none block_max_wand 1063750 4 6994 8135 10239 8135 8136 222469 203383 27412 3613
counters 10 deepimpact bp none block_max_wand 1103812 5 8993 5948 8323 5948 5949 268996 245408 25409 2951
counters 10 deepimpact bp none block_max_wand 1106007 2 102 1121 1196 1121 1122 2246 1091 477 84
counters 10 deepimpact bp none block_max_wand 1110199 4 1779 8933 9776 8933 8934 47476 35365 4434 878
counters 10 deepimpact bp none block_max_wand 1112341 5 11410 5237 7286 5237 5238 366803 350817 12304 2653
counters 10 deepimpact bp none block_max_wand 1113437 4 1197 871 992 871 872 38986 35410 1144 117
counters 10 deepimpact bp none block_max_wand 1114646 3 531 4957 5264 4957 4958 13664 10723 2616 330
counters 10 deepimpact bp none block_max_wand 1114819 5 2951 4328 5508 4328 4329 84258 78697 4272 931
counters 10 deepimpact bp none block_max_wand 1115776 4 571 2437 2568 2437 2438 16808 16407 2931 143
counters 10 deepimpact bp none block_max_wand 1117099 3 1192 3494 3804 3494 3495 38783 35838 1833 274
counters 10 deepimpact bp none block_max_wand 1121402 5 4562 4048 5264 4048 4049 149924 147505 12296 1028
counters 10 deepimpact bp none block_max_wand 1121709 3 2034 5135 5532 5135 5136 74552 69749 2936 427
counters 10 deepimpact bp none block_max_wand 1124210 2 48 887 913 887 888 1094 1047 335 27
counters 10 deepimpact bp none block_max_wand 1129237 5 4035 3400 4905 3400 3401 115534 106738 4299 861
counters 10 deepimpact bp none block_max_wand 1133167 3 352 1452 1824 1452 1453 7194 4287 940 143
counters 10 deepimpact bp none block_max_wand 130510 3 447 2761 3009 2761 2762 12446 10917 2917 255
counters 10 deepimpact bp none block_max_wand 131843 2 280 1742 1754 1742 1743 8522 8514 2681 54
counters 10 deepimpact bp none block_max_wand 146187 5 1258 2141 3044 2141 2142 36045 34502 2474 492
counters 10 deepimpact bp none block_max_wand 148538 4 1770 4332 5676 4332 4333 52847 50423 6795 716
counters 10 deepimpact bp none block_max_wand 156493 2 94 1430 1530 1430 1431 1948 275 391 84
counters 10 deepimpact bp none block_max_wand 168216 4 78 1151 1440 1151 1152 1222 844 259 87
counters 10 deepimpact bp none block_max_wand 182539 3 1548 10269 11308 10269 10270 56174 26143 4679 1620
counters 10 deepimpact bp none block_max_wand 183378 3 703 7872 9384 7872 7873 20511 15854 1501 613
counters 10 deepimpact bp none block_max_wand 19335 3 785 2790 3192 2790 2791 26963 22959 1456 300
counters 10 deepimpact bp none block_max_wand 207786 4 520 1370 1795 1370 1371 14170 12986 574 140
counters 10 deepimpact bp none block_max_wand 264014 5 3969 1281 2466 1281 1282 123406 121848 3421 364
counters 10 deepimpact bp none block_max_wand 359349 4 1215 4982 5692 4982 4983 43044 41943 2159 610
counters 10 deepimpact bp none block_max_wand 405717 4 733 1818 2124 1818 1819 24532 20971 3397 315
counters 10 deepimpact bp none block_max_wand 443396 3 541 1252 1405 1252 1253 17739 16454 1686 146
counters 10 deepimpact bp none block_max_wand 451602 5 4740 3315 4322 3315 3316 140026 135495 24394 786
counters 10 deepimpact bp none block_max_wand 47923 5 220 1104 1425 1104 1105 5057 3937 532 90
counters 10 deepimpact bp none block_max_wand 489204 4 1507 3658 4928 3658 3659 42338 33060 3081 853
counters 10 deepimpact bp none block_max_wand 490595 3 841 2252 2551 2252 2253 28717 22154 2269 304
counters 10 deepimpact bp none block_max_wand 527433 4 258 2697 2969 2697 2698 6637 4508 1200 149
counters 10 deepimpact bp none block_max_wand 573724 4 1611 1927 2524 1927 1928 50642 48641 2629 468
counters 10 deepimpact bp none block_max_wand 833860 5 5660 3394 5330 3394 3395 172321 166916 5643 788
counters 10 deepimpact bp none block_max_wand 855410 3 6073 57733 60695 57733 57734 182262 156642 16862 3193
counters 10 deepimpact bp none block_max_wand 87181 4 400 2356 3019 2356 2357 12552 7455 842 394
counters 10 deepimpact bp none block_max_wand 87452 3 453 2264 2614 2264 2265 13127 9262 1824 297
counters 10 deepimpact bp none block_max_wand 915593 7 11792 9158 15230 9158 9159 309467 284399 32004 2124
counters 10 deepimpact bp none block_max_wand 962179 4 1117 3101 3606 3101 3102 30320 23675 2567 474
counters 10 deepimpact bp none maxscore 1037798 3 2433 212285 236182 198437 0 0 0 11507 10091
counters 10 deepimpact bp none maxscore 104861 4 683 71273 74432 31493 0 0 0 904 780
counters 10 deepimpact bp none maxscore 1063750 4 24790 3188910 3263381 1050952 0 0 0 28421 27984
counters 10 deepimpact bp none maxscore 1103812 5 19317 2961747 3188327 81669 0 0 0 26387 25913
counters 10 deepimpact bp none maxscore 1106007 2 191 27283 27575 26270 0 0 0 479 312
counters 10 deepimpact bp none maxscore 1110199 4 1123 105170 112038 9941 0 0 0 5706 4414
counters 10 deepimpact bp none maxscore 1112341 5 9280 1078131 1150517 4618 0 0 0 10605 10275
counters 10 deepimpact bp none maxscore 1113437 4 934 86661 88505 841 0 0 0 1465 1231
counters 10 deepimpact bp none maxscore 1114646 3 1425 199383 204189 163056 0 0 0 3504 3263
counters 10 deepimpact bp none maxscore 1114819 5 1792 230696 238896 6188 0 0 0 5212 4696
counters 10 deepimpact bp none maxscore 1115776 4 2308 344935 345237 329494 0 0 0 2890 2850
counters 10 deepimpact bp none maxscore 1117099 3 565 80565 83223 5483 0 0 0 2113 1838
counters 10 deepimpact bp none maxscore 1121402 5 7712 1386078 1447597 12503 0 0 0 13450 12879
counters 10 deepimpact bp none maxscore 1121709 3 1722 241877 253259 14934 0 0 0 7801 6815
counters 10 deepimpact bp none maxscore 1124210 2 253 41796 41832 41796 0 0 0 335 331
counters 10 deepimpact bp none maxscore 1129237 5 2585 357869 372061 2908 0 0 0 3852 3602
counters 10 deepimpact bp none maxscore 1133167 3 244 14705 17650 8103 0 0 0 1225 786
counters 10 deepimpact bp none maxscore 130510 3 1838 285451 286347 275221 0 0 0 2920 2708
counters 10 deepimpact bp none maxscore 131843 2 2045 341900 341911 341899 0 0 0 2681 2675
counters 10 deepimpact bp none maxscore 146187 5 2309 234044 277145 36316 0 0 0 8091 5951
counters 10 deepimpact bp none maxscore 148538 4 5860 732097 952598 225629 0 0 0 10540 9943
counters 10 deepimpact bp none maxscore 156493 2 99 12079 12372 12028 0 0 0 385 180
counters 10 deepimpact bp none maxscore 168216 4 180 24092 24593 11238 0 0 0 299 269
counters 10 deepimpact bp none maxscore 182539 3 2935 409032 427167 149850 0 0 0 5096 5032
counters 10 deepimpact bp none maxscore 183378 3 882 111146 125880 68721 0 0 0 1523 1365
counters 10 deepimpact bp none maxscore 19335 3 904 105211 109497 19358 0 0 0 2961 2069
counters 10 deepimpact bp none maxscore 207786 4 640 71047 72983 8605 0 0 0 797 734
counters 10 deepimpact bp none maxscore 264014 5 2514 366786 389825 3535 0 0 0 4976 4144
counters 10 deepimpact bp none maxscore 359349 4 2338 216628 247181 141355 0 0 0 6393 6058
counters 10 deepimpact bp none maxscore 405717 4 2848 413189 415070 318071 0 0 0 3880 3596
counters 10 deepimpact bp none maxscore 443396 3 765 139323 139905 57479 0 0 0 1671 1361
counters 10 deepimpact bp none maxscore 451602 5 36928 4276305 4313341 95914 0 0 0 34788 34405
counters 10 deepimpact bp none maxscore 47923 5 296 38140 39015 30385 0 0 0 546 377
counters 10 deepimpact bp none maxscore 489204 4 2550 241893 257343 17180 0 0 0 3860 3013
counters 10 deepimpact bp none maxscore 490595 3 718 87491 89284 29078 0 0 0 2789 1636
counters 10 deepimpact bp none maxscore 527433 4 785 109746 111392 105907 0 0 0 1079 954
counters 10 deepimpact bp none maxscore 573724 4 1290 207356 212276 13611 0 0 0 3954 3551
counters 10 deepimpact bp none maxscore 833860 5 4018 541672 576786 1956 0 0 0 7246 6311
counters 10 deepimpact bp none maxscore 855410 3 13064 1789325 1944774 189008 0 0 0 39538 37731
counters 10 deepimpact bp none maxscore 87181 4 392 35087 37525 24030 0 0 0 957 735
counters 10 deepimpact bp none maxscore 87452 3 1057 159631 160747 90082 0 0 0 1974 1578
counters 10 deepimpact bp none maxscore 915593 7 21731 3762006 3881972 3057 0 0 0 31499 31322
counters 10 deepimpact bp none maxscore 962179 4 770 79052 82276 17405 0 0 0 3068 1997
counters 10 original random QK wand 1037798 3 837 2629 4898 2629 2630 47639 0 2709 1594
counters 10 original random QK wand 104861 4 1317 1132 3001 1132 1133 66269 0 2558 1198
counters 10 original random QK wand 1063750 5 2959 1316 3151 1316 1317 157577 0 4920 1413
counters 10 original random QK wand 1103812 5 2849 1289 3403 1289 1290 153709 0 9109 1753
counters 10 original random QK wand 1106007 2 86 554 596 554 555 4342 0 800 60
counters 10 original random QK wand 1110199 4 384 581 1013 581 582 18614 0 1303 311
counters 10 original random QK wand 1112341 5 7366 3739 9888 3739 3740 376296 0 9990 5034
counters 10 original random QK wand 1113437 4 1217 1676 2853 1676 1677 75072 0 3450 1066
counters 10 original random QK wand 1114646 3 594 1230 2405 1230 1231 39605 0 3816 1179
counters 10 original random QK wand 1114819 5 2565 952 2527 952 953 132477 0 4563 1122
counters 10 original random QK wand 1115776 4 286 480 804 480 481 11876 0 1985 329
counters 10 original random QK wand 1117099 3 1027 1488 2745 1488 1489 47448 0 5662 1175
counters 10 original random QK wand 1121402 5 588 554 1190 554 555 27904 0 3387 622
counters 10 original random QK wand 1121709 3 3506 7068 14107 7068 7069 217455 0 6421 3906
counters 10 original random QK wand 1124210 2 9 131 154 131 132 131 0 129 24
counters 10 original random QK wand 1129237 5 5166 1883 4973 1883 1884 224762 0 7324 2286
counters 10 original random QK wand 1133167 3 327 603 1053 603 604 15414 0 2410 407
counters 10 original random QK wand 130510 3 100 232 439 232 233 6435 0 641 194
counters 10 original random QK wand 131843 2 2 24 27 24 25 24 0 25 4
counters 10 original random QK wand 146187 5 362 226 549 226 227 21266 0 2072 321
counters 10 original random QK wand 148538 4 314 485 1159 485 486 7619 0 2995 276
counters 10 original random QK wand 156493 3 171 399 762 399 400 3759 0 1939 352
counters 10 original random QK wand 168216 5 94 312 799 312 313 2585 0 730 275
counters 10 original random QK wand 182539 3 56 186 279 186 187 1026 0 725 96
counters 10 original random QK wand 183378 3 367 974 1703 974 975 26983 0 1756 683
counters 10 original random QK wand 19335 3 287 431 749 431 432 16420 0 1674 303
counters 10 original random QK wand 207786 5 3517 1072 2693 1072 1073 173801 0 9176 1621
counters 10 original random QK wand 264014 5 2066 616 1769 616 617 121806 0 6055 964
counters 10 original random QK wand 359349 4 84 89 182 89 90 1724 0 1014 80
counters 10 original random QK wand 405717 4 211 251 602 251 252 13276 0 656 239
counters 10 original random QK wand 443396 3 805 2629 4615 2629 2630 53284 0 2492 833
counters 10 original random QK wand 451602 4 945 875 1690 875 876 49849 0 1706 495
counters 10 original random QK wand 47923 5 294 303 769 303 304 11886 0 1255 195
counters 10 original random QK wand 489204 4 989 1623 4530 1623 1624 37518 0 5703 2033
counters 10 original random QK wand 490595 3 79 229 405 229 230 1570 0 914 159
counters 10 original random QK wand 527433 5 303 385 1069 385 386 7607 0 2706 366
counters 10 original random QK wand 573724 4 5750 1976 5000 1976 1977 294945 0 7362 2573
counters 10 original random QK wand 833860 5 4872 2138 5826 2138 2139 273227 0 9775 2972
counters 10 original random QK wand 855410 3 10457 107935 215803 107935 107936 736608 0 16454 16453
counters 10 original random QK wand 87181 4 111 303 847 303 304 3492 0 851 348
counters 10 original random QK wand 87452 3 520 1208 2226 1208 1209 23342 0 3468 953
counters 10 original random QK wand 915593 8 1874 974 3582 974 975 65939 0 4721 1575
counters 10 original random QK wand 962179 4 301 537 1118 537 538 10265 0 2249 352
counters 10 original random QK block_max_wand 1037798 3 880 974 1150 974 975 34546 7782 1883 304
counters 10 original random QK block_max_wand 104861 4 1407 623 1062 623 624 53030 14246 1794 507
counters 10 original random QK block_max_wand 1063750 5 3980 269 402 269 270 145554 60823 5177 248
counters 10 original random QK block_max_wand 1103812 5 4242 563 899 563 564 151092 19940 7797 414
counters 10 original random QK block_max_wand 1106007 2 119 160 197 160 161 4732 390 800 55
counters 10 original random QK block_max_wand 1110199 4 551 239 395 239 240 16907 1948 998 121
counters 10 original random QK block_max_wand 1112341 5 5431 1169 1564 1169 1170 185722 94797 8516 970
counters 10 original random QK block_max_wand 1113437 4 2024 640 775 640 641 84032 13642 4033 379
counters 10 original random QK block_max_wand 1114646 3 230 59 63 59 60 10161 10055 239 5
counters 10 original random QK block_max_wand 1114819 5 2289 308 564 308 309 70038 32897 3172 282
counters 10 original random QK block_max_wand 1115776 4 316 215 246 215 216 9263 2054 1191 61
counters 10 original random QK block_max_wand 1117099 3 901 520 623 520 521 33261 10720 3122 217
counters 10 original random QK block_max_wand 1121402 5 598 183 262 183 184 12221 6836 2656 73
counters 10 original random QK block_max_wand 1121709 3 3759 1269 1754 1269 1270 193520 86876 6715 806
counters 10 original random QK block_max_wand 1124210 2 16 123 137 123 124 139 8 129 16
counters 10 original random QK block_max_wand 1129237 5 4660 745 1289 745 746 149646 62106 6005 673
counters 10 original random QK block_max_wand 1133167 3 310 251 355 251 252 8962 2417 1568 128
counters 10 original random QK block_max_wand 130510 3 110 165 202 165 166 4527 596 482 48
counters 10 original random QK block_max_wand 131843 2 5 24 27 24 25 24 0 25 4
counters 10 original random QK block_max_wand 146187 5 391 151 232 151 152 13662 2183 1404 95
counters 10 original random QK block_max_wand 148538 4 420 340 553 340 341 8105 752 3030 145
counters 10 original random QK block_max_wand 156493 3 153 258 358 258 259 3071 834 1253 106
counters 10 original random QK block_max_wand 168216 5 129 207 421 207 208 2645 402 593 113
counters 10 original random QK block_max_wand 182539 3 70 170 216 170 171 989 69 677 50
counters 10 original random QK block_max_wand 183378 3 290 327 359 327 328 11769 3996 1051 110
counters 10 original random QK block_max_wand 19335 3 244 153 199 153 154 6379 1086 1611 63
counters 10 original random QK block_max_wand 207786 5 3815 360 589 360 361 127391 39468 7704 346
counters 10 original random QK block_max_wand 264014 5 1965 314 572 314 315 59459 22391 3824 324
counters 10 original random QK block_max_wand 359349 4 93 73 119 73 74 1437 315 749 35
counters 10 original random QK block_max_wand 405717 4 143 123 244 123 124 4534 2682 443 104
